,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,.,.,0,0,9,3,0,0,.,0,0,0,.,0,0,0,3,0,0,0,0,0,0,4,3,.,.,0,0,.,5,0,0,0,.,7,21,15,3,0,.,3,16,31,17,6,0,5,7,4,3,4,0,0,0,0,.,4,.,0,0,0,0
64,.,.,24,8,9,9,6,14,11,3,4,3,.,8,22,13,.,17,3,3,9,0,0,17,9,10,.,.,0,24,9,3,17,5,25,44,40,34,12,6,20,43,124,41,544,108,6,26,60,23,33,15,18,19,5,0,4,18,10,5,9,0,6
65,3,3,19,8,12,4,16,7,4,.,5,3,0,12,23,17,6,17,6,0,7,0,0,18,7,3,.,0,.,10,7,.,11,.,15,42,30,12,15,0,42,26,88,11,110,356,36,27,61,22,36,13,17,17,7,0,4,14,8,6,19,0,10
66,0,0,.,0,.,0,0,0,0,.,0,0,0,.,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,.,0,0,0,0,.,.,.,.,0,0,.,0,.,0,6,8,23,.,9,.,.,3,0,0,.,0,0,0,3,0,.,0,0
70,4,4,12,13,23,10,15,5,3,.,6,.,0,16,5,6,8,14,.,.,6,0,.,16,9,4,.,.,.,21,22,0,.,.,46,80,40,8,0,0,6,8,20,.,25,20,4,196,185,21,26,8,13,15,15,.,4,19,14,.,5,6,.
71,9,6,26,20,37,38,29,11,7,4,11,5,0,23,17,25,10,8,.,.,.,0,.,55,20,8,3,0,.,41,30,5,6,7,43,89,58,28,4,.,23,15,39,12,27,48,.,148,726,68,157,58,24,19,6,.,3,27,29,8,17,.,4
72,.,.,5,4,10,7,7,5,0,.,.,.,.,.,.,4,4,0,0,.,0,0,.,6,9,0,0,0,0,10,4,0,0,.,9,33,13,10,.,0,17,16,9,.,12,12,3,35,62,319,18,22,7,5,4,.,0,3,18,.,4,0,0
73,4,.,5,9,18,9,13,6,.,4,.,.,0,10,8,9,5,8,0,0,11,0,0,4,7,5,3,0,.,21,19,.,.,0,16,30,20,5,4,.,13,5,23,4,20,20,.,27,188,24,377,38,28,9,7,5,3,22,22,3,9,3,3
74,0,6,8,6,4,8,0,.,.,0,0,0,.,13,8,14,0,5,.,0,.,0,0,4,5,0,.,.,.,13,.,.,0,.,.,11,11,3,0,.,4,3,6,3,10,8,0,14,34,4,36,446,43,6,6,3,3,9,8,0,7,0,4
75,.,.,5,.,3,3,3,.,0,0,0,0,.,.,0,4,0,.,0,.,.,0,0,.,.,0,0,.,0,3,4,0,3,0,7,12,3,4,.,0,.,.,4,0,6,11,.,5,17,.,13,34,94,11,3,.,0,8,.,0,.,0,.
80,5,7,15,6,11,12,35,18,6,3,11,6,0,14,20,7,4,5,0,.,8,.,.,13,8,6,4,3,.,20,16,.,6,5,14,19,8,3,0,0,3,0,5,0,31,7,.,16,26,4,10,21,3,484,106,17,30,140,79,61,54,5,15
81,6,4,5,.,5,6,20,12,3,3,5,3,0,.,3,3,0,3,.,0,.,0,3,3,9,.,0,0,4,13,5,.,.,0,.,7,15,.,.,0,0,.,.,0,.,6,0,6,5,4,8,12,0,96,183,20,50,28,41,11,25,5,11
82,0,0,4,0,.,.,.,0,.,0,.,0,0,.,0,.,0,.,0,0,0,0,0,.,0,.,.,0,0,.,5,.,.,0,0,0,0,.,0,0,.,.,.,0,0,0,.,0,.,5,3,0,.,24,18,66,.,3,.,0,5,0,0
83,.,.,.,.,7,5,.,7,.,.,.,.,0,0,.,.,.,5,0,0,0,0,.,3,10,.,.,0,0,3,3,0,.,0,3,8,.,.,0,0,.,0,0,0,7,.,0,.,.,.,8,.,0,32,39,5,145,26,30,14,16,4,37
90,8,10,35,26,36,71,75,29,5,9,14,4,0,28,20,23,12,8,.,5,12,5,0,29,18,6,.,.,.,70,31,5,.,4,10,26,5,3,0,4,3,.,4,6,9,6,.,16,50,5,26,12,11,143,34,.,23,533,232,95,84,4,52
91,.,8,13,28,19,46,36,19,8,9,14,.,0,10,16,11,7,6,0,8,5,.,0,24,20,4,5,5,5,29,17,.,4,4,18,12,8,4,.,0,0,3,16,.,8,0,0,11,23,4,17,10,0,69,20,8,17,177,503,130,137,12,55
92,0,4,10,.,5,9,3,6,.,.,13,6,.,5,3,5,7,.,4,3,6,0,0,8,7,3,0,0,.,6,4,0,3,4,7,6,.,0,.,0,3,0,.,0,.,.,0,0,3,.,9,7,3,49,12,.,18,35,109,140,40,7,25
93,7,3,17,15,23,17,18,46,11,16,38,12,3,19,27,7,12,9,0,3,7,0,.,22,17,4,5,.,0,12,18,0,.,4,12,25,15,3,0,0,.,5,9,.,10,3,0,8,20,5,14,9,.,50,12,8,5,75,122,52,481,.,73
94,.,.,.,0,6,0,.,10,3,4,4,.,0,.,0,0,.,7,.,.,6,0,.,3,6,0,0,0,0,.,.,0,4,0,0,3,.,0,0,0,0,0,0,0,.,0,0,0,0,0,.,0,0,.,4,0,.,9,9,0,14,81,10
95,.,.,.,3,.,3,.,7,.,5,5,8,0,14,9,.,.,3,8,0,3,0,0,12,.,3,0,0,0,3,12,0,.,.,8,10,8,.,0,0,.,3,.,0,8,.,0,.,12,.,.,5,8,11,17,.,11,22,17,20,41,8,201
