;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;10022;.;7;20;20;8;4;9;43;22;10;15;18;0;61;94;253;41;38;7;14;24;0;0;138;65;3;.;4;9;31;17;.;11;5;7;16;5;3;3;.;4;12;11;0;7;.;.;11;37;11;9;7;.;20;7;.;.;24;21;4;20;5;9;0
23;10023;.;.;8;5;3;.;15;46;33;5;4;20;0;14;59;18;126;58;6;9;33;0;0;47;12;7;8;4;4;12;5;4;5;.;.;6;6;.;3;.;.;4;16;.;9;7;.;10;6;6;7;5;.;15;10;0;0;8;11;5;12;0;7;0
24;10024;3;7;26;6;7;3;23;34;65;12;41;7;.;39;80;28;80;461;28;4;74;.;8;33;17;10;.;6;8;20;13;5;11;21;0;18;6;5;10;0;13;54;32;0;43;9;.;16;17;9;17;9;.;34;10;0;.;11;11;8;28;0;3;0
25;10025;0;3;0;.;.;.;0;5;5;0;4;.;.;5;7;.;5;16;36;3;14;.;0;9;.;3;0;0;.;3;.;0;0;0;.;.;.;.;0;0;0;0;.;0;3;4;0;0;.;0;0;0;.;0;0;0;0;.;5;.;.;0;.;0
26;10026;0;5;7;0;.;.;0;4;7;0;4;4;0;.;9;8;8;6;.;45;18;3;3;19;22;.;4;.;18;3;3;3;.;.;0;.;.;3;.;0;0;0;.;0;0;.;0;.;0;0;.;.;.;5;.;0;0;5;.;0;.;0;0;0
27;10027;.;.;4;.;4;5;3;24;9;3;3;6;.;8;10;18;19;35;9;10;199;3;11;15;15;0;5;0;14;7;4;.;0;3;11;11;.;.;0;0;0;4;11;0;11;3;0;9;8;4;4;3;.;7;.;0;0;.;6;3;5;3;.;0
28;10028;0;.;.;.;0;4;0;.;0;0;0;0;0;0;0;.;0;0;.;3;4;12;0;.;.;0;0;0;5;0;0;0;0;0;0;0;.;0;0;0;0;0;0;0;.;0;0;0;0;0;0;0;0;.;0;0;0;0;0;0;.;0;0;0
29;10029;0;.;.;.;.;0;0;0;.;.;.;.;0;.;.;0;3;.;.;0;14;.;13;4;.;.;0;.;0;0;0;0;0;0;.;.;0;0;0;0;.;0;0;.;3;0;0;.;0;0;0;0;0;.;0;.;0;0;.;0;.;.;.;0
30;10030;8;34;84;72;45;33;19;61;31;10;28;13;5;175;130;202;42;43;.;13;7;0;6;631;175;25;4;27;17;119;44;16;23;11;27;46;9;13;11;0;9;19;15;7;9;12;.;49;59;14;18;8;.;31;23;4;9;55;42;10;35;.;5;0
31;10031;.;11;28;19;21;10;10;16;23;3;6;3;0;22;30;69;29;27;3;36;17;12;10;132;399;37;17;12;45;56;27;17;11;3;10;7;8;.;3;0;.;.;11;0;8;3;0;7;13;7;4;5;5;19;11;3;6;13;13;12;17;4;0;0
32;10032;.;23;3;3;3;5;4;7;0;.;.;0;0;0;3;11;3;.;.;3;7;0;4;7;31;106;12;7;16;8;3;6;14;6;.;.;.;4;0;0;.;.;.;0;5;.;0;3;7;3;3;6;0;8;.;.;.;.;3;4;6;0;3;0
33;10033;0;.;3;.;.;3;0;.;.;.;3;0;0;5;7;3;.;6;.;0;4;.;0;7;16;15;40;7;8;3;3;0;8;3;0;5;.;.;0;0;0;0;4;0;3;0;0;3;.;.;4;0;0;.;.;.;0;.;.;.;.;.;.;0
34;10034;0;0;.;.;5;.;0;6;.;0;0;0;0;5;.;5;0;.;0;.;.;0;3;13;14;11;3;119;10;.;0;.;.;3;.;.;0;0;0;0;0;.;3;0;0;0;0;.;0;.;3;0;.;.;0;0;0;.;0;.;3;0;0;0
35;10035;0;5;.;5;0;3;.;0;.;.;.;.;0;0;4;0;6;3;.;12;8;0;3;15;22;12;14;26;75;4;3;0;6;.;3;0;.;0;0;0;0;5;.;0;0;4;0;0;.;0;0;.;0;3;0;.;0;.;7;5;.;.;0;.
40;10040;10;34;103;243;66;42;24;25;9;7;13;3;.;54;55;39;10;8;3;5;.;0;.;149;67;31;7;6;7;708;293;30;33;19;84;104;28;13;6;9;13;.;26;6;10;3;0;52;60;18;17;9;0;20;7;5;3;50;34;14;14;0;4;0
